Title,Type,Price,Bedrooms,Bathrooms,Area,Verified
Apartment for sale in the heart of the Fifth Settlement | 10% down payment with a discount of up to 20% of the unit price and installments over the lo,Apartment," 5,100,000.00 ",1,1,85,Verified Business
"Private penthouse with roof for sale fully finished With only 10% down payment In the heart of the Fifth Settlement , next to the American University",," 5,200,000.00 ",1,1,98,Verified Business
Apartment for sale in the Fifth Settlement with a discount of up to 30% in Jadie Compound with a down payment of only 5% and installments over the lon,Apartment," 3,500,000.00 ",1,1,62,Verified Business
Apartment for sale two bedrooms in the Fifth Settlement with a discount of up to 30% in Jadie with a down payment of only 5% and installment,Apartment," 6,600,000.00 ",2,2,105,Verified Business
"Under market price apartment lowest monthly installments50,000 direct view on lagoon 172m finished with installments in palm hills new cairo ahly club",Apartment," 10,850,000.00 ",3,3,172,Verified Business
"A fully finished apartment For sale in New Cairo, prime location in Fifth Settlement on 90th Street, direct from Golden Square",Apartment," 8,000,000.00 ",3,2,164,Verified Business
"Apartment for sale with a 10% down payment only in the Fifth Settlement, minutes away from the American University, directly on the 90th",Apartment," 5,400,000.00 ",2,2,120,Verified Business
A nautical apartment with a double view on the landscape in the Icon compound in the heart of the Fifth Settlement direct on 90th Street,Apartment," 4,000,000.00 ",3,2,147,Verified Business
"144 sqm apartment for sale in Avelin Compound, New Cairo, delivery 2027, near Rehab, minutes from AUC, 5% down payment, installments up to 8 years",Apartment," 10,368,000.00 ",2,2,144,
For Sale apartment 2 bedrooms open view Majestic  Mountain View Hyde Park Lake selling with kitchen,Apartment," 8,500,000.00 ",2,2,133,
Semi furnished Penthouse 185m sale Compound Fifth Square Al Marasem New Cairo,," 13,000,000.00 ",3,3,185,Verified Business
Apartment for Sale in Al Rehab  A distinctive apartment with an area of 99 sqm  Prime location next to Avenue with a beautiful garden view,Apartment," 5,500,000.00 ",2,1,99,Verified Business
"Lowest Down Payment in Market North-Facing Apartment in Mountain View iCity, Ready to Move",Apartment," 6,640,000.00 ",3,3,160,
"A great deal on an apartment for sale in one of La Vista's best projects, with a stunning view of the landscape.",Apartment," 10,800,000.00 ",3,3,200,Verified Business
Apartment for Sale in Al Rehab  A distinctive apartment with an area of 99 sqm  Prime location next to Avenue with a beautiful garden view ,Apartment," 6,000,000.00 ",2,1,99,Verified Business
"124 sqm apartment for sale in Avelin Compound, New Cairo, delivery 2027, near Rehab, minutes from AUC, 5% down payment, installments up to 8 years",Apartment," 8,928,000.00 ",2,1,124,
Studio with Garden for sale in The Village . . Palm Hills . . beside the AUC,," 6,500,000.00 ",1,1,118,Verified Business
Investors in the southern compound of National Defense near New Cairo/NEW CAIRO المستثمرين الجنوبيه كومباوند الدفاع الوطني بالتجمع الخامس قريبه من محور محمد نجيب/NEW CAIRO,," 5,500,000.00 ",3,2,190,
Apartment With kitchen for sale in The Square,Apartment," 8,700,000.00 ",3,2,175,
"For Sale: Distinctive Apartment in BlueTree Project, Type H",Apartment," 7,954,000.00 ",2,2,110,
Fully Finished Luxury Penthouse With a Prime View for sale in Swan Lake - New Cairo,," 31,830,000.00 ",5,4,320,Verified Business
Apartment For Sale At Lake View New Cairo Direct To Lake,Apartment," 19,500,000.00 ",3,3,214,Verified Business
Apartment for sale in El Patio Oro Compound,Apartment," 10,800,000.00 ",3,3,200,Verified Business
"Lowest price apartment in Al Patio, immediate delivery, price not available in the project.",Apartment," 10,800,000.00 ",3,3,200,Verified Business
For Sale Hotel Apartment in Fifth Square Compound Lagoon View with Lowest Down Payment and Installments Al Marasem New Cairo Fifth Settlement,Apartment," 5,620,000.00 ",1,1,52,Verified Business
" Apartment for Sale in Al Rehab 2 – Next to Avenue Mall | New Cairo  A premium apartment in a prime location, finished to the highest standards and",Apartment," 11,000,000.00 ",3,3,182,
"Apartment for sale, fully finished, in a very special location on the Fifth Settlement Extension, with a 35% discount when paying in cash.",Apartment," 3,800,000.00 ",3,2,110,Verified Business
شقة للبيع في النرجس عمارات موقع شارع محمد صبري ابو علم /NEW CAIRO,," 5,195,000.00 ",3,1,151,
فيفث سكوير شقة,," 10,000,000.00 ",3,2,160,
For Sale Hotel Apartment in Fifth Square Compound Lagoon View with Lowest Down Payment and Installments Al Marasem New Cairo Fifth Settlement,Apartment," 5,620,000.00 ",1,1,52,Verified Business
" Apartment for Sale in Al Rehab 2 – Next to Avenue Mall | New Cairo  A premium apartment in a prime location, finished to the highest standards and",Apartment," 11,000,000.00 ",3,3,182,
"Apartment for sale, fully finished, in a very special location on the Fifth Settlement Extension, with a 35% discount when paying in cash.",Apartment," 3,800,000.00 ",3,2,110,Verified Business
شقة للبيع في النرجس عمارات موقع شارع محمد صبري ابو علم /NEW CAIRO,," 5,195,000.00 ",3,1,151,
فيفث سكوير شقة,," 10,000,000.00 ",3,2,160,
Apartment for sale in New Cairo Fifth Settlement in a distinguished location with 2% down payment,Apartment," 6,035,550.00 ",3,2,145,Verified Business
Lowest price for apartment finished with acs ready to move 192m view landscape in compound hyde park new cairo fifth settlement,Apartment," 10,380,000.00 ",4,3,192,Verified Business
With a Prime View Apartment With a Private Garden for Sale in Lake View - New Cairo,Apartment," 10,250,000.00 ",2,2,130,Verified Business
"Duplex for sale with a garden 110 meters , in Villette Sodic Fifth Settlement *Resale*, in the heart of the Golden Square with a view directly on 90t",," 21,000,000.00 ",3,3,310,Verified Business
"Hot Deal – Near Delivery 145 sqm Apartment No Premium in Blue Tree Compound, Next to Al Ahly Club, Golden Square – New Cairo",Apartment," 9,150,000.00 ",3,3,145,
"Apartment for sale in New Cairo near the American University in Cairo in Golf Town compound with installments up to 15 years with Modon, minutes aw",Apartment," 4,000,000.00 ",1,1,80,Verified Business
Two bedroom apartment for sale with installments over 15 years in New Cairo near the American University in Cairo in the Golf Town compound with Mod,Apartment," 6,000,000.00 ",2,2,135,Verified Business
Apartment for sale in Fifth Settlement in Villette Sodic *Resale* in the heart of the Golden Square with a direct view of 90th Street | Villette Sodic,Apartment," 18,000,000.00 ",3,3,190,Verified Business
Apartment for sale in Fifth Settlement in Villette Sodic *Resale* in the heart of the Golden Square with a direct view of 90th Street | Villette Sodic,Apartment," 14,000,000.00 ",3,3,184,Verified Business
"Apartment for sale with a large area, ultra-super-lux finish, first occupancy, very prime location, third building from Katameya Heights, overlooking",Apartment," 8,000,000.00 ",3,3,265,
"3-Bedroom Apartment – 140 SQM – Fully Finished & Ready for Viewing in Mountain View 1, New Cairo (Fifth Settlement) – Delivery in 1 Year – 10% DP",Apartment," 18,000,000.00 ",3,3,140,
 Apartment for Sale in Al Rehab 2 – New Cairo (Phase 9),Apartment," 7,500,000.00 ",3,2,131,
apartment for sale 171m in Idris East compound in New Cairo Fifth Settlement 5 minutes from Al Ahly club immediate delivery and fully finished with installments over 5 years,Apartment," 7,500,000.00 ",3,2,171,Verified Business
Prime Location Apartment in Mountain View Hyde Park,Apartment," 16,000,000.00 ",3,3,274,
For sale an apartment in al-Narjis Al-Jadida ground floor with garden ready for handover,Apartment," 4,600,000.00 ",3,2,160,
For sale apartment in Al-Andalus 2 ready for delivery,Apartment," 5,500,000.00 ",3,3,260,
"Two-bedroom apartment for sale in the heart of New Cairo, fully finished to a high-end standard, next to the American University | With only a 20% dow",Apartment," 4,300,000.00 ",2,2,101,
Luxury Furnished Apartment for Sale in Emaar Mivida Boulevard New Cairo Close to AUC and All Fifth Settlement Services,Apartment," 19,500,000.00 ",2,2,168,
Under Market Price Apartment 255m Facing north with open view for Sale in Palm Hills New Cairo | ready to move,Apartment," 8,500,000.00 ",4,4,255,
فرصه للاستثمار استديو للبيع الترا سوبر لوكس التجمع الخامس الاندلس,," 1,850,000.00 ",1,1,100,Verified User
immediate resale apartment under market price fully finished with AC's in Almarasem Fifth square compound,Apartment," 12,620,000.00 ",3,3,180,Verified Business
Apartment with Prime Location Landscape View Ready to move for Sale in Hyde Park Compound Fifth Settlement  New Cairo,Apartment," 11,877,500.00 ",3,4,216,Verified Business
شقه بجاردن جاهزة فورى سعر مش هيتكرر في ماونتن فيو أي سيتي جوار بالم هيلز نيو كايرو - التجمع الخامس,," 6,000,000.00 ",3,3,150,Verified Business
Apartment 183m for Sale in Palm Hills New Cairo – Ready to Move | Best location and Price,Apartment," 11,300,000.00 ",3,3,183,
Lowest total price for apartment finished with acs ready to move 192m view landscape in compound hyde park new cairo fifth settlement,Apartment," 10,380,000.00 ",4,3,192,Verified Business
"“Immediate-delivery apartment, special cash price 6,656,000 EGP, with an area of 128 sqm in Creek Town Compound, near Al-Rehab City, Fifth Settlement.",Apartment," 8,450,000.00 ",2,2,128,
"Apartment for sale in the best location, Galleria Moon Valley Compound",Apartment," 14,900,000.00 ",3,3,196,
Apartment for sale in the best compound in Fifth Settlement,Apartment," 10,900,000.00 ",3,3,185,
Apartment for sale in the finest compound in New Cairo (New Cairo area),Apartment," 9,800,000.00 ",2,3,149,
Apartment for sale in Sudic Eastown at a special price,Apartment," 17,000,000.00 ",3,3,210,
Apartment for sale in prime location in Taj City Compound,Apartment," 6,266,000.00 ",2,2,123,
Apartment for sale at a special price in Taj City Compound,Apartment," 7,500,000.00 ",3,2,130,
Apartment for Sale in Mountain View Hyde Park New Cairo Ready to Move,Apartment," 9,000,000.00 ",3,3,202,
Apartment for sale best  price in Hyde Park Compound,Apartment," 11,000,000.00 ",3,3,199,
"140 sqm Fully finished apartment for sale in Mountain View 1.1, delivery in 1 year, New Cairo near North 90th, 10% DP installments up to 10 years.",Apartment," 18,000,000.00 ",3,3,140,
Apartment for sale in front of Hyde Park Andalusia,Apartment," 3,552,500.00 ",3,2,145,Verified Business
"Apartment for sale in District 3/4 – Judges Buildings – in front of the Diplomats Compound, Fifth Settlement, New Cairo",Apartment," 4,800,000.00 ",3,1,160,
Prime Apartment for Sale in SODIC Eastown | Ultra-super deluxe finishing with  AC'S | Best Market Price,Apartment," 12,700,000.00 ",3,3,156,
Apartment for Sale – Al Rehab 2 – Phase 7 (Latest Phase in Al Rehab),Apartment," 6,100,000.00 ",2,2,89,
"Two-bedroom resale apartment for sale, ready to move in Orjami, minutes from 90th Street, extension of Al-Thawra Street, installment options ava",Apartment," 8,799,000.00 ",2,2,114,
Apartment for sale in front of Hyde Park Andalusia,Apartment," 3,552,500.00 ",3,2,145,Verified Business
"Apartment for sale in District 3/4 – Judges Buildings – in front of the Diplomats Compound, Fifth Settlement, New Cairo",Apartment," 4,800,000.00 ",3,1,160,
Prime Apartment for Sale in SODIC Eastown | Ultra-super deluxe finishing with  AC'S | Best Market Price,Apartment," 12,700,000.00 ",3,3,156,
Apartment for Sale – Al Rehab 2 – Phase 7 (Latest Phase in Al Rehab),Apartment," 6,100,000.00 ",2,2,89,
"Two-bedroom resale apartment for sale, ready to move in Orjami, minutes from 90th Street, extension of Al-Thawra Street, installment options ava",Apartment," 8,799,000.00 ",2,2,114,
"Beit Elwatan opposite the viewzone, Fifth Settlement I minutes from city gate, El-patio Oro, The driive, Mivida and AUC",," 4,710,000.00 ",3,2,157,Verified Business
Apartment 3 Bedroom for sale Delivery 2 Years - 0% Downpayment - Prime Location Direct Pool - New Cairo,Apartment," 15,000,000.00 ",3,4,164,
Apartment for Sale in Hyde Park Garden Residence New Cairo,Apartment," 9,999,999.00 ",4,3,191,
"Super Lux  Studio for Sale – Hyde Park, New Cairo , Prime location , ready to move",," 7,200,000.00 ",1,2,88,Verified Business
"Fully Finished Apartment for Sale in Al Rehab – New Cairo , ready to move , prime location",Apartment," 6,000,000.00 ",3,2,100,Verified Business
"Fully finished Apartment for Sale – Dar Misr El Kornfel, New Cairo ,Ready to move ,prime location 1st FLOOR",Apartment," 4,200,000.00 ",3,3,150,Verified Business
"Fully Finished  Penthouse For Sale in Swan Lake Residences - Iris 1-New Cairo, Prime location",," 31,850,000.00 ",4,4,266,Verified Business
"Fully Finished Apartment for Sale in Mirage Residence – New Cairo , prime location , ready to move",Apartment," 7,000,000.00 ",1,2,90,Verified Business
"Apartment 197 m with installments over 60 months, Beit Al Watan, Fifth Settlement",Apartment," 4,731,000.00 ",3,3,197,
Apartment with garden for sale in Lake View Residence,Apartment," 10,000,000.00 ",2,2,144,Verified Business
"Apartment for sale, ready for immediate occupancy, prime location, very spacious in Lake View Residence Compound, Fifth Settlement, at below market",Apartment," 17,500,000.00 ",3,3,215,Verified Business
"Apartment for sale in Andalus Buildings, Fifth Settlement",Apartment," 3,000,000.00 ",3,2,140,
"Immediate handover available apartment in Taj City Compound Phase Chalet, New Cairo, City of Egypt",Apartment," 5,500,000.00 ",2,2,119,
"Appartement à vendre dans le prestigieux quartier de Beit Al Watan Nord, avec accès direct depuis la route de Suez, à deux minutes de la rue 90, entre",," 4,000,000.00 ",3,3,152,
"Apartment for sale in the prestigious North House area of ​​New Cairo, 152 sq m, with direct access from the Suez Road, lowest down payment, longest p",Apartment," 4,000,000.00 ",3,2,152,
FULLY FINISHED and READY TO MOVE Penthouse for sale at Fifth Square Almarassem new cairo with lowest price in market,," 9,750,000.00 ",3,3,168,Verified Business
"Appartement à vendre dans le quartier le plus prestigieux de Beit Al Watan, Cinquième District, Club House, double vue, en face de Palm Hills, aux pri",," 4,748,000.00 ",3,3,209,
"Apartment for sale 185m in Lotus Fifth Settlement, directly from the owner, with a cash discount, near to Mivida compound and AUC 5th settlement",Apartment," 5,550,000.00 ",4,3,185,Verified Business
Amazing Apartment for sale in Al Narges Villas Fifth Settlement,Apartment," 7,250,000.00 ",3,2,240,
Apartment 137m 3 bedrooms for sale in dijar - new cairo,Apartment," 8,900,000.00 ",3,3,137,
"Apartment for sale in the heart of New Cairo, ready for immediate occupancy, fully finished - Address East Compound - next to Mountain View iCity",Apartment," 6,860,000.00 ",3,2,145,Verified Business
210 sqm Apartment | Immediate Delivery | 2-Year Installment Plan,Apartment," 5,600,000.00 ",3,2,210,
"Duplex with immediate delivery for sale in front of the American University (Porto New Cairo, Fifth Settlement)",," 14,000,000.00 ",3,2,285,
"Apartment for sale in North Lotus, Fifth Settlement",Apartment," 3,400,000.00 ",3,1,135,
Really a very golden opportunity that you don't miss EDEN Al-Rehab,," 7,750,000.00 ",3,2,157,
"Ready to Move Apartment, Finished with Ac,s in Villette next to Mivida and Palm Hills Katameya",Apartment," 14,000,000.00 ",2,2,156,Verified Business
"A shot for those who love to seize opportunities. 164 m² apartment, immediate delivery, semi-finished, in El Patio Oro Prime Location compound, direct",Apartment," 9,800,000.00 ",3,3,164,Verified Business
"apartment for sale, 164 m², immediate delivery in El Patio Oro compound, open view, no damage, low down payment, total price for the project, f",Apartment," 8,100,000.00 ",3,3,164,Verified Business
"Apartment for sale in Al Patio Oro Compound, Fifth Settlement",Apartment," 10,500,000.00 ",3,3,200,
"Penthouse for sale, ready for immediate occupancy, prime location with a private swimming pool and garden view in Lake View Residence Compound, Fifth",," 27,500,000.00 ",4,4,345,Verified Business
"For those who love excellence, a 165 m² apartment, immediate delivery, ultra-luxury finishes in the kitchen and air conditioning, first floor, sea vie",Apartment," 10,600,000.00 ",3,2,165,Verified Business
Penthouse for Sale in Patio Oro – Private Roof – Prime Area,," 14,000,000.00 ",3,2,163,
Apartment for Sale in Mountain View Hyde Park Compound | 275m | Large Terrace | Ready to Move,Apartment," 15,999,999.00 ",3,4,275,
Ground floor apartment with garden for sale – directly opposite the Gateway,Apartment," 5,250,000.00 ",2,1,92,
"Duplex Ground-floor for Sale in Al Yasmeen 4, Fifth Settlement. Ultra super lux finished",," 8,900,000.00 ",4,3,450,
For sale shot in El Rehab 99 m apartment in Rehab 2 View Wide Garden steps from the Eastern Market,Apartment," 5,200,000.00 ",2,1,99,
Finished Apartment for sale in Lake View Residence,Apartment," 12,075,000.00 ",2,2,144,Verified Business
"Triplex for sale in Eastown Sodic Compound, Fifth Settlement",," 18,500,000.00 ",3,3,287,
ready to move resale apartment fully finished+AC's with the lowest price in golden square fifth settlement ( fifth square compound) Al Marasem,Apartment," 9,500,000.00 ",3,2,155,Verified Business
Under Market Price  Apartment for Sale in Mountain View iCity  Prime Location,Apartment," 5,990,000.00 ",3,3,165,
For sale shot in El Rehab 99 m apartment in Rehab 2 View Wide Garden steps from the Eastern Market,Apartment," 5,200,000.00 ",2,1,99,
Finished Apartment for sale in Lake View Residence,Apartment," 12,075,000.00 ",2,2,144,Verified Business
"Triplex for sale in Eastown Sodic Compound, Fifth Settlement",," 18,500,000.00 ",3,3,287,
ready to move resale apartment fully finished+AC's with the lowest price in golden square fifth settlement ( fifth square compound) Al Marasem,Apartment," 9,500,000.00 ",3,2,155,Verified Business
Under Market Price  Apartment for Sale in Mountain View iCity  Prime Location,Apartment," 5,990,000.00 ",3,3,165,
Apartment for Sale Mountain view icity new cairo  Ready to move,Apartment," 5,900,000.00 ",3,3,155,
"Fully renovated apartment with kitchen for sale in Lakeview, New Cairo? Lake View Fifth Settlement? The text: شقة متشطبه بالكامل بالمطبخ للبيع في ليك ڤيو التجمع الخامس Unable to determine exact proper noun translation; Brand names preserved.",Apartment," 24,600,000.00 ",3,3,205,
Apartment 180 sqm for sale in Al-Andalus half-finished building inhabited,Apartment," 3,850,000.00 ",3,2,180,Verified Business
A ultra lux apartment for sale 210 m An ultra-super lux apartment for sale 210 m A ultra-super luxury apartment for sale 210 m,Apartment," 6,500,000.00 ",3,2,210,Verified Business
"duplex with garden for sale 242m  Club membership Mountain View icity New Cairo , View landscape, near of Palm Hills",," 10,500,000.00 ",3,3,242,Verified Business
Semi furnished apartment for sale in Lake View Residence,Apartment," 12,000,000.00 ",2,2,144,Verified Business
Apartment for sale in Al Lotus Al Janoubiya in New Cairo,Apartment," 5,500,000.00 ",3,3,150,
(Hot Deal Opportunity) An apartment with an open view for sale at an unbeatable price and with only a 5% down payment in the most luxurious and finest,Apartment," 4,500,000.00 ",2,2,101,Verified Business
"Take advantage of a special price, apartment for sale 131 meters in Al Rehab City - a distinctive view, garden - finishes by a good company in good condition",Apartment," 6,350,000.00 ",3,2,131,
Penthouse For Sale Ready To Move In A prime location At Lake View 2 New Cairo,," 20,810,000.00 ",3,4,245,
ready to move resale apartment (fully finished) ready for living in Taj city super prime location in the first settlement,Apartment," 9,500,000.00 ",3,3,150,Verified Business
ready to move resale apartment (fully finished) ready for living in Taj sultan super prime location in the first settlement,Apartment," 9,500,000.00 ",3,3,150,Verified Business
Apartment 180 m for sale in Andalus 1,Apartment," 3,850,000.00 ",3,2,179,Verified Business
"Apartment for sale, Ready to Move, Fully finished in Galleria Moon Valley Compound, Fifth Settlement",Apartment," 8,000,000.00 ",2,2,119,Verified Business
Ready to move corner unit landscape view with very prime location,," 9,550,000.00 ",3,3,165,
apartment for sale 196m beit al watan 5th settlement new caio,Apartment," 5,050,000.00 ",3,3,195,Verified Business
" 5,300,000 EGP | 201 SQM Corner Apartment for Sale – Beit Al Watan, New Cairo Panoramic View  Directly Overlooking the Square & Helo Park",Apartment," 5,300,000.00 ",3,3,201,
"Your last chance to own a hot deal apartment in Taj City | New Cairo — minutes from Nasr City , Heliopolis , Fifth Settlement & Rehab",Apartment," 9,500,000.00 ",3,3,170,
ready to move resale apartment (fully finished) with the lowest price in the market for quick sale in Mountain View icity new cairo,Apartment," 7,850,000.00 ",3,3,170,Verified Business
"Immediate Delivery Apartment for Sale | Semi Finished | 145 SQM + 20 SQM Garden | New Narges, New Cairo",Apartment," 4,350,000.00 ",3,3,145,
"Your apartment is 167 square meters, ready for immediate delivery, just steps away from 90th Street",Apartment," 5,010,000.00 ",3,2,167,Verified Business
بمقدم 10% انتهز فرصة شقة لقطة بView مفتوح وهم للبيع في ارقى كمبوند في التجمع,," 6,550,000.00 ",2,2,118,Verified Business
"For sale in South Academy villas, duplex 350m ground floor + basement, garden view",," 11,000,000.00 ",3,4,350,Verified Business
featuring a spacious garden area - Semi finished - Ground floor -3 bedrooms-3 bathrooms- A ground-Apartment for sale in The Square Compound- New Cairo,Apartment," 9,200,000.00 ",3,3,191,Verified Business
Apartment for Sale160 sqm in New Narges,Apartment," 5,500,000.00 ",3,3,160,
Under market price - Semi finished - Typical floor - Prime location - 4th floor- 3 bedrooms-3 bathrooms-BUA 196- Apartment for sale IN Lotus elganobia,Apartment," 3,950,000.00 ",3,3,195,Verified Business
prime location - Ready To Move - Luxury finishing with Kitchen - With Private Gardens - reception 2 pieces - Penthouse for sale in Trio gardens,," 8,700,000.00 ",3,3,205,Verified Business
"For sale in Dar Misr Al Qarnafel, a 130 sq m apartment on the 5th and top floor with elevator.",Apartment," 3,600,000.00 ",3,2,130,Verified Business
Duplex ground with pool Prime location,," 13,838,000.00 ",4,4,225,Verified Business
Club House View Apartment for Sale in Mountain View iCity New Cairo  Ready to Move,Apartment," 7,750,000.00 ",3,3,180,
"Apartment with garden for sale, fully finished, installments over 7 years, near Al Shams and Al Shorouk clubs || New Cairo",Apartment," 9,000,000.00 ",3,3,177,Verified Business
Prime Residential Apartment for Sale near South Teseen Monorail Strategic Location in front of Al Maghraby Eye Hospital Behind the new Carrefour af,Apartment," 8,000,000.00 ",3,2,200,
"""A luxurious apartment for sale 150 m  in one of the most prestigious compounds in New Cairo, located in Mivida",Apartment," 18,000,000.00 ",2,3,150,
Apartment for Sale by Owner in North House – Garden View & Flexible Payment Plan,Apartment," 4,500,000.00 ",3,2,170,
"Apartment for sale with immediate delivery in Maadi Compound, sharing a wall with Mountain View Al-Andalus",Apartment," 5,209,000.00 ",3,3,171,
Apartment on the ground floor with a private garden for sale from the owner - a lively area south of the Suez Road near 90 North,Apartment," 3,975,000.00 ",3,2,149,
"Ground Floor Apartment with Private Garden for Sale – Open Garden View, Corner Unit | Ready to Move & 3-Year Installments",Apartment," 4,172,000.00 ",3,2,148,
Apartment for Sale by Owner in North House – Garden View & Flexible Payment Plan,Apartment," 4,500,000.00 ",3,2,170,
Ready-to-Move Sea-Facing Apartment for Sale in New Narges – Direct from Owner,Apartment," 5,190,000.00 ",3,2,162,
"For sale: 3-bedroom corner apartment with sea view in Mountain View iCity, New Cairo - MV Park phase - immediate delivery - excellent location with a",Apartment," 6,400,000.00 ",3,3,140,Verified Business
Apartment on the ground floor with a private garden for sale from the owner - a lively area south of the Suez Road near 90 North,Apartment," 3,975,000.00 ",3,2,149,
"Ground Floor Apartment with Private Garden for Sale – Open Garden View, Corner Unit | Ready to Move & 3-Year Installments",Apartment," 4,172,000.00 ",3,2,148,
Apartment for Sale by Owner in North House – Garden View & Flexible Payment Plan,Apartment," 4,500,000.00 ",3,2,170,
Ready-to-Move Sea-Facing Apartment for Sale in New Narges – Direct from Owner,Apartment," 5,190,000.00 ",3,2,162,
"For sale: 3-bedroom corner apartment with sea view in Mountain View iCity, New Cairo - MV Park phase - immediate delivery - excellent location with a",Apartment," 6,400,000.00 ",3,3,140,Verified Business
"Immediate Delivery | 219 sqm Apartment – 2nd Floor with Open View, Meter & Private Garage, in Lotus – New Cairo, just steps from Clubs Axis & Platinum",Apartment," 6,200,000.00 ",4,3,219,
Apartment for Sale | Al Rehab,Apartment," 8,500,000.00 ",3,3,156,
Ground Apartment Narges Villas Open View Finished with acs,Apartment," 8,300,000.00 ",3,3,172,Verified Business
mountain view i city - apartment 172m with 94m garden on installment over 7 years in new cairo open view,Apartment," 11,800,000.00 ",3,2,172,Verified Business
دوبلكس duplex متشطب ب 4 تكيفات و الفرش كامل و المطبخ كامل واجهزتة للبيع في التجمع الخامس,," 12,000,000.00 ",3,3,211,Verified Business
Apartment 100m with a private VIP view terrace 0 renovated Deluxe in Amorada Compound New Cairo,Apartment," 7,800,000.00 ",2,2,100,Verified Business
Apartment with air conditioning immediate receipt 181m plastered high-end for sale in Sodic Villette Sodic Villette for sale on installments over 10 years,Apartment," 20,000,000.00 ",3,2,181,Verified Business
Apartment for sale in La Vista Patio Oro Fifth Settlement Compound - a 120m apartment with full frontage and garden Ultra Super lux immediate delivery,Apartment," 12,700,000.00 ",2,1,120,Verified Business
Apartment for sale - Hyde Park Compound - 192m next to Arsenal Football Club - New Cairo City - in installments over 10 years,Apartment," 13,800,000.00 ",3,2,192,Verified Business
"Apartment 220m open view full in Gaide compound - Jayed in New Cairo, opposite Rehab - immediate handover",Apartment," 22,000,000.00 ",3,3,220,Verified Business
"For sale, a 440-square-meter duplex, ground and first floors, in Al-Yasmine 6, close to 90th Street and Salah El-Din Schools",," 11,000,000.00 ",6,6,440,Verified Business
"For sale in Jasmine Villas, a duplex, ground floor and first floor, 440 sqm, on red brick, close to services and North Ninetieth Street",," 11,000,000.00 ",6,6,440,Verified Business
"A fully finished high-luxury apartment (hot deal) for sale with installments, in the most prestigious and prime location in New Cairo, developed by a",Apartment," 5,890,000.00 ",2,2,107,Verified Business
Apartment +garden for sale Ready To Move prime location near to AUC at Compound The Icon Residence 2- New Cairo,Apartment," 2,650,000.00 ",2,1,105,
"Duplex for sale in New Cairo with a 50% discount, prime location, stunning landscape view, next to Madinaty, near the Fifth Settlement.",," 8,000,000.00 ",4,3,212,Verified Business
"Apartment Ground Floor with Garden for Sale, Under Market Price",Apartment," 30,673,000.00 ",3,2,245,
شقة استلام فوري كومبوند تاج سيتي مرحلة شالية القاهرة الجديدة مدينة مصر,," 5,800,000.00 ",3,2,135,
شقة استلام فوري كومبوند تاج سيتي مرحلة شالية القاهرة الجديدة مدينة مصر,," 6,800,000.00 ",3,2,141,
دوبلكس لقطه بجاردينيا هايتس التجمع من المالك مباشره ٤٣٠ متر تشطيب راقي,," 7,500,000.00 ",2,2,430,Verified User
Apartment For Sale 205 SQM Fully Finished Ready To Move In Sodic Eastown New Cairo,Apartment," 15,800,000.00 ",3,3,205,Verified Business
Your chance to own a 190m² apartment in Notion – 6th Settlement | Lowest down payment and longest payment plan,Apartment," 12,400,000.00 ",3,1,190,Verified Business
190m² Apartment for Sale in Notion – 6th Settlement | Low Down Payment & Easy Long-Term Installments!,Apartment," 12,400,000.00 ",3,1,190,Verified Business
"5% down payment - Apartment for sale in Hyde Park, Fifth Settlement - New Cairo - near the American University AUC",Apartment," 7,300,000.00 ",1,1,75,Verified Business
"With a 5% down payment and installments over 8 years,  own an apartment in Hyde Park Central, 6th Settlement - New Cairo",Apartment," 6,185,000.00 ",1,1,75,Verified Business
Real shot for sale in Rehab 2 – a very special location,," 7,500,000.00 ",3,2,131,
"Apartment for sale, Prime Location, fully finished, with the lowest down payment and installments, in Crescent Walk New Cairo - Sixth Settlement -",Apartment," 9,167,000.00 ",1,1,86,Verified Business
Apartment For Sale 225 SQM Fully Finished In Swan Lake Residence Hassan Allam New Cairo,Apartment," 12,000,000.00 ",3,4,225,Verified Business
Your chance to own a 190m² apartment in Notion – 6th Settlement | Lowest down payment and longest payment plan,Apartment," 12,400,000.00 ",3,1,190,Verified Business
Your chance to own a 190m² apartment in Notion – 6th Settlement | Lowest down payment and longest payment plan,Apartment," 12,400,000.00 ",3,1,190,Verified Business
"Apartment for sale, fully finished, ready to move, in front of Hyde Park and Mivida in Promenade, Fifth Settlement - near the American University AUC",Apartment," 8,000,000.00 ",3,3,225,Verified Business
"Looking for a quiet, upscale, and reasonably priced apartment? Yours is ready now at Notion in New Cairo, with the lowest down payment you can start w",Apartment," 5,900,000.00 ",2,1,107,Verified Business
"Apartment for sale with Garden at lowest price in New Cairo directly opposite Al Rehab, Over 10Years, Steps from Suez Road.",Apartment," 6,500,000.00 ",2,2,91,
"Apartment 265 m with garden 55 m for sale in Rehab, private finishes entirely, very special location near Eastern Market and services شقة 265 م بجاردن 55 م للبيع في الرحاب تشطيبات خاصة بالكامل موقع مميز جدا بالقرب من السوق الشرقي والخدمات",Apartment," 17,000,000.00 ",5,4,265,
Luxury Penthouse Apartment Open View on Landscape in Patio Oro in the Heart of New Cairo,Apartment," 11,200,000.00 ",4,3,168,
